product_picture;product_name;product_id;product_main_category;product_category;product_material;product_color;product_features;product_stock;product_price
10039.png;Sweet Pillow;10039;living room, bedroom;pillow;cotton;pink;round, velvet;50;350
10040.png;Sun Pillow;10040;living room, bedroom;pillow;polyester;yellow;rectangle;65;170
10041.png;Rainbow Rug;10041;living room, bedroom;rug;cotton;yellow, pink, blue, brown, purple, green;colorful, no swipe;25;7800
10042.png;Autumn Rug;10042;living room, bedroom, kitchen;rug;cotton;brown;no stain, waterproof;85;3400
10043.png;Paris Rug;10043;living room, bedroom, kitchen;rug;polyester;pink, red;no swipe;50;1600
10044.png;Cloud Rug;10044;living room, bedroom;rug;polyester;white;puffy, soft;40;3800
10045.png;New York Curtain;10045;living room, bedroom;curtain;polyester;black;blackout, 200x250 cm;35;4400
10046.png;Rome Curtain;10046;living room, bedroom;curtain;cotton;pink;background, 200x250 cm;40;5000
10047.png;Light Free Curtain;10047;living room, bedroom;curtain;cotton;white;blind, 180x220 cm;75;3700
10048.png;Cream Curtain;10048;living room, bedroom;curtain;polyester;beige;folded, 180x220 cm;25;4800
10049.png;Rome Bed;10049;bedroom;bed;wood;brown;storage, double sided, 160x200 cm;15;17000
10050.png;Prag Bed;10050;bedroom;bed;wood;white;single bed, 90x200 cm;25;6000
10051.png;Berlin Bed;10051;bedroom;bed;metal;black;double sided, 160x200 cm;20;7500
10052.png;Bunk Bed;10052;bedroom;bed;metal;gray;bunk bed, 90x200 cm, 2 single beds;10;9500
10053.png;Milano Wardrobe;10053;bedroom;wardrobe;wood;yellow, white;4 doors, 200x350x50 cm, 5 shelfs;35;25000
10054.png;Berlin Wardrobe;10054;bedroom;wardrobe;wood;black;sliding doors, 7 shelfs, 200x400x60 cm;40;45000
10055.png;Corner Wardrobe;10055;bedroom;wardrobe;wood;gray;corner wardrobe, 160/110x230x40 cm;20;35000
10056.png;Amsterdam Wardrobe;10056;bedroom;wardrobe;wood;white;250x200x50 cm, open wardrobe, 7 shelfs;70;15000
10057.png;Strong Box;10057;bedroom, bathroom, kitchen;box;metal;black;no lid;30;600
10058.png;Paris Box;10058;bedroom, bathroom, kitchen, living room;box;polyester;white;has 2 shelfs;25;750
10059.png;Baby Box;10059;bedroom, bathroom, living room;box;cotton;beige;no lid;35;550
10060.png;Toy Box;10060;bedroom, bathroom, kitchen;box;plastic;blue;with lid;70;450
10061.png;Work Box;10061;bedroom, bathroom, kitchen;box;plastic;white;with lid;80;350
